,Time,Time Code,Country Name,Country Code,"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]",GDP per capita (constant 2010 US$) [NY.GDP.PCAP.KD],Population growth (annual %) [SP.POP.GROW],"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age) [SH.ALC.PCAP.LI]","Suicide mortality rate (per 100,000 population) [SH.STA.SUIC.P5]","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) [EN.ATM.PM25.MC.M3]",Population density (people per sq. km of land area) [EN.POP.DNST],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Ter,Happiness Score,develppedEc
13,2015,YR2015,Benin,BEN,5.048,60.5846829268293,1.0,827.8459673295,2.77297792645726,2.2,9.3,35.16237337,93.7916991841078,1.09632501988295,0.0,3.34,n
14,2015,YR2015,Bolivia,BOL,2.9210000000000003,68.7498048780488,3.0999999046325697,2392.98397316016,1.5272250469799298,5.8,18.7,27.97140377,9.90003230868642,1.7438390165353101,0.076,5.89,n
15,2015,YR2015,Bosnia and Herzegovina,BIH,1.345,76.6402926829268,26.2999992370605,5190.0987581255795,-0.8459964990479342,7.5,6.0,47.40090583,69.06173828125,1.0007272489138102,,4.949,n
16,2015,YR2015,Botswana,BWA,2.7739999999999996,65.7510975609756,16.7999992370605,7308.61150787729,1.8559753536752501,7.7,9.7,17.539391199999997,3.89814726589381,2.6628696546194703,0.0,4.332,n
17,2015,YR2015,Brazil,BRA,1.74,75.1991219512195,8.5,11322.1466804372,0.8527992062517801,9.1,6.3,11.36829449,24.6420983615972,1.3644282578394198,2.207,6.983,n
18,2015,YR2015,Bulgaria,BGR,1.53,74.4658536585366,9.10000038146973,7612.02494778448,-0.638069468160719,11.3,15.9,28.12871472,66.12003500368459,1.31645318203049,2.421,4.218,n
19,2015,YR2015,Burkina Faso,BFA,5.436,59.8446585365854,3.29999995231628,645.369843460608,2.9396904305894203,7.4,9.2,40.03947692,66.1938011695906,1.41981523059178,,3.5869999999999997,n
20,2015,YR2015,Burundi,BDI,5.781000000000001,57.0693414634146,1.5,226.528058208507,3.06110289439754,9.8,8.0,45.53410622,397.16783489096605,2.15750646677165,3.342,2.905,n
21,2015,YR2015,Cambodia,KHM,2.594,68.4720487804878,0.100000001490116,1024.87234257436,1.60352658015741,6.1,11.9,29.03890178,87.90865057783822,2.11269807161138,0.153,3.819,n
22,2015,YR2015,Cameroon,CMR,4.7780000000000005,57.557512195122,4.099999904632569,1469.6377414656,2.63853608129366,7.7,11.9,66.42837013,48.3055615493643,1.14443329649881,6.466,4.252,n
23,2015,YR2015,Canada,CAN,1.6,82.1290243902439,6.900000095367429,50109.8752757682,0.8517560465367049,10.3,12.3,7.178847511,3.9422192310779907,0.986422266114119,2.297,7.4270000000000005,n
24,2015,YR2015,Chad,TCD,6.05,52.55395121951221,5.699999809265139,953.591407056196,3.1909402723936897,4.4,8.7,46.05858564,11.1256456480305,2.02944820964625,2.142,3.667,n
25,2015,YR2015,Chile,CHL,1.785,79.1606829268293,6.199999809265139,14907.1163933524,0.841711121116545,9.3,9.9,20.94195715,23.8895985646885,1.9119774710031299,3.969,6.67,n
26,2015,YR2015,China,CHN,1.617,76.1170975609756,4.5,6496.624012555171,0.508136747291937,7.6,10.0,58.37659937,146.057646126616,1.9349221663818703,6.294,5.14,n
27,2015,YR2015,Colombia,COL,1.874,74.1561951219512,9.0,7446.182259583241,0.9097818100422579,6.6,6.1,17.99813938,43.468857142857104,3.1308925676081403,6.662,6.477,n
28,2015,YR2015,Ivory Coast,CIV,4.976,53.078243902439006,9.39999961853027,1469.73017834589,2.52916307814285,6.5,18.1,23.53443788,72.6681509433962,1.71944602659167,,3.655,n
29,2015,YR2015,Croatia,HRV,1.46,77.2756097560976,16.2999992370605,13935.9524070109,-0.824099163913538,11.7,17.5,21.78040386,75.11801286633309,1.54013965016805,0.115,5.7589999999999995,n
30,2015,YR2015,Cyprus,CYP,1.35,80.2910487804878,14.8999996185303,27587.280880397204,0.750102726229635,9.1,4.7,18.28597332,125.647727272727,1.6664412129410402,3.08,5.689,n
31,2015,YR2015,Czech Republic,CZE,1.53,79.4731707317073,5.0,21381.703080831998,0.19658874847265304,14.1,13.7,21.40898739,136.57160062160102,0.943773890107518,,6.505,n
32,2015,YR2015,Denmark,DNK,1.69,81.1,6.199999809265139,59967.742823222005,0.706423849687002,10.2,12.2,11.02259277,135.353250773994,1.1165167322116,0.091,7.527,n
33,2015,YR2015,Dominican Republic,DOM,2.451,73.7036829268293,14.5,6552.69251271167,1.17082264902617,7.6,6.8,20.41796867,217.934050921134,0.6725250024993211,,4.885,n
34,2015,YR2015,Ecuador,ECU,2.5140000000000002,76.081512195122,4.800000190734861,5352.87645717309,1.50564448525114,6.1,7.5,12.84155358,65.0038975680464,2.4665303553660096,0.577,5.975,n
35,2015,YR2015,Egypt,EGY,3.3110000000000004,71.2956585365854,12.8000001907349,2665.35161379275,2.11829482521685,0.3,2.6,104.6666533,94.2068129991461,1.7231474282908503,6.813,4.194,n
36,2015,YR2015,El Salvador,SLV,2.101,73.00309756097559,7.0,3733.9228382080605,0.496901567748348,3.5,11.1,37.0047886,304.656274131274,0.9519298458411031,,6.13,n
37,2015,YR2015,Ethiopia,ETH,4.317,65.0082926829268,5.0,487.290010568137,2.54146861870415,4.3,8.4,35.73814656,99.87303299999999,0.7054909119642259,3.544,4.512,n
38,2015,YR2015,Finland,FIN,1.71,81.3853658536585,9.39999961853027,45086.735488784805,0.329383885818507,11.9,16.2,7.379235597,18.030110888091897,1.31261898740821,0.0,7.406000000000001,n
39,2015,YR2015,France,FRA,2.01,82.67073170731709,10.3999996185303,41689.707978533705,0.43941065477949603,11.6,16.9,12.36533737,121.675127886229,2.27422395787522,4.553,6.575,n
